iter	Logloss
0	0.6736847818
1	0.6558350178
2	0.6402306473
3	0.6255037087
4	0.6130119294
5	0.6017487004
6	0.5929263058
7	0.5841368301
8	0.576676886
9	0.5690381838
10	0.5623056358
11	0.5556505877
12	0.5511535649
13	0.5473742413
14	0.542798178
15	0.5389096039
16	0.5355285106
17	0.5318431815
18	0.5284596651
19	0.5252807219
20	0.5225002298
21	0.5203325054
22	0.5179228589
23	0.5154170056
24	0.5140043397
25	0.5119265388
26	0.5103037349
27	0.5086797658
28	0.5071999679
29	0.5060847038
30	0.5048878908
31	0.5037020955
32	0.5028402315
33	0.5019285548
34	0.500699463
35	0.499315771
36	0.4984273757
37	0.4970583148
38	0.4963274328
39	0.4956698134
40	0.4946875135
41	0.4935012227
42	0.4927476984
43	0.4920605226
44	0.4912306156
45	0.4904502139
46	0.4896608571
47	0.4890744276
48	0.488486681
49	0.4880022417
50	0.4872055407
51	0.4866730795
52	0.4862166036
53	0.485551339
54	0.4847501036
55	0.4841107219
56	0.4836104484
57	0.4829107781
58	0.482240785
59	0.4817423527
60	0.4811335635
61	0.480524257
62	0.4800343413
63	0.4796420195
64	0.4789482648
65	0.4785478928
66	0.4780447246
67	0.4776681966
68	0.4771899409
69	0.4765389751
70	0.4761859169
71	0.4756682732
72	0.4752312053
73	0.4749334722
74	0.4744484549
75	0.4737678027
76	0.4734217716
77	0.4729354074
78	0.4725511201
79	0.4721795228
80	0.4716943066
81	0.471201287
82	0.4708687679
83	0.4703364239
84	0.4696365361
85	0.4691202465
86	0.4687010587
87	0.4681171354
88	0.4676533648
89	0.4673172293
90	0.4669779333
91	0.4667867993
92	0.4664921719
93	0.4662479665
94	0.4659251065
95	0.4654616258
96	0.4649031974
97	0.4644412525
98	0.4640945542
99	0.4636631966
100	0.4633424517
101	0.4629511575
102	0.4624369788
103	0.4621201071
104	0.4617612708
105	0.4613244589
106	0.4610418566
107	0.4605695119
108	0.460186486
109	0.4599839217
110	0.4594820184
111	0.4591432427
112	0.4587540558
113	0.458003731
114	0.4577502439
115	0.4572069749
116	0.4567541067
117	0.4564007386
118	0.4560229137
119	0.4555386461
120	0.4550856927
121	0.4547335527
122	0.4541938942
123	0.4536556404
124	0.4532284849
125	0.4528028211
126	0.4525698871
127	0.4522247691
128	0.4519208297
129	0.4516930793
130	0.4513006877
131	0.4509565094
132	0.4506273704
133	0.4502300702
134	0.4499485885
135	0.4495336667
136	0.4489744953
137	0.4485719252
138	0.4482591353
139	0.4478677853
140	0.4475379448
141	0.4470570615
142	0.4468434565
143	0.4464200286
144	0.4460333022
145	0.4457340914
146	0.4452344137
147	0.4446837371
148	0.4442439046
149	0.4439915616
150	0.4436016673
151	0.4431854646
152	0.4429181359
153	0.4424733968
154	0.4420813337
155	0.441740781
156	0.441226604
157	0.4409226238
158	0.4405533398
159	0.4402844668
160	0.4397341174
161	0.4394553626
162	0.4390468238
163	0.4386734945
164	0.4383052894
165	0.4377521609
166	0.4372202117
167	0.436894292
168	0.43647353
169	0.436031793
170	0.4355433105
171	0.4351352065
172	0.4347101624
173	0.4343480744
174	0.4339129372
175	0.4336086874
176	0.433022237
177	0.4324896137
178	0.4319253299
179	0.4315659413
180	0.4311044155
181	0.4306728226
182	0.4301315521
183	0.4299561524
184	0.4294712641
185	0.4288822935
186	0.4284775125
187	0.4280649871
188	0.4277392368
189	0.42747269
190	0.4270803538
191	0.4267345304
192	0.4265463129
193	0.4259370596
194	0.4255581192
195	0.4250974114
196	0.4245364626
197	0.4242358429
198	0.4238691531
199	0.4236583169
200	0.4232948489
201	0.4229797829
202	0.4223804034
203	0.4220558803
204	0.4217381766
205	0.4214210548
206	0.4208211845
207	0.4204740901
208	0.4198966514
209	0.4195752647
210	0.419044001
211	0.4186563686
212	0.418111227
213	0.4177497555
214	0.417200425
215	0.4165167288
216	0.4159693448
217	0.4156641793
218	0.4150423187
219	0.4144640861
220	0.4141242288
221	0.4136444657
222	0.4132274345
223	0.412822672
224	0.4123680516
225	0.41207061
226	0.4116202151
227	0.4111029207
228	0.4107021612
229	0.4100006163
230	0.4095933645
231	0.4092976435
232	0.4087229095
233	0.40829782
234	0.4079668388
235	0.4076390271
236	0.4071233477
237	0.4065855532
238	0.406025636
239	0.4053410905
240	0.4047710341
241	0.4043709239
242	0.4039981795
243	0.4036430194
244	0.4031609563
245	0.4027004231
246	0.4021280938
247	0.4017675156
248	0.4014625365
249	0.4010204616
250	0.400707504
251	0.4002615214
252	0.3999737641
253	0.3997216631
254	0.3992995188
255	0.3989491642
256	0.3985581182
257	0.398131091
258	0.3977292107
259	0.3974028597
260	0.3970874328
261	0.3966009492
262	0.3962370881
263	0.3959049849
264	0.3953550062
265	0.3949020422
266	0.3945510204
267	0.3943254779
268	0.3939303478
269	0.3935334052
270	0.3928982473
271	0.3924867544
272	0.3920442796
273	0.3915743492
274	0.3912138325
275	0.3906456363
276	0.3902358057
277	0.3897757475
278	0.3895301033
279	0.3892573052
280	0.3888176307
281	0.3882871174
282	0.3877201965
283	0.3873216064
284	0.3868187025
285	0.3865817597
286	0.3862568147
287	0.3858143174
288	0.3853631404
289	0.3849727353
290	0.3846541979
291	0.384158572
292	0.3838576018
293	0.3835154371
294	0.3831199688
295	0.3827315511
296	0.3823958559
297	0.3819984312
298	0.3816241805
299	0.381241441
300	0.3807567041
301	0.380451526
302	0.3800430317
303	0.379552434
304	0.3792309383
305	0.3788912165
306	0.3784281543
307	0.3780376492
308	0.3776566626
309	0.377105203
310	0.3766255718
311	0.3762803316
312	0.375981839
313	0.3754816616
314	0.3750484175
315	0.3746247015
316	0.3742524148
317	0.3738711111
318	0.3733007586
319	0.3729987011
320	0.3726258843
321	0.3721952088
322	0.3717056941
323	0.3713112079
324	0.3708781647
325	0.3705423406
326	0.3701834907
327	0.3699206142
328	0.3696413977
329	0.3694095415
330	0.369044238
331	0.3686396566
332	0.368272412
333	0.3679873677
334	0.3676212819
335	0.3673724785
336	0.3668726735
337	0.3663549774
338	0.3660524242
339	0.3656970406
340	0.3653864743
341	0.3650751787
342	0.3648299639
