iter	Passed	Remaining
0	4	2077
1	10	2498
2	14	2455
3	19	2413
4	24	2451
5	28	2340
6	33	2361
7	39	2453
8	45	2489
9	50	2485
10	57	2534
11	62	2550
12	67	2538
13	73	2551
14	78	2530
15	86	2612
16	99	2825
17	107	2879
18	111	2829
19	117	2824
20	122	2789
21	128	2781
22	139	2893
23	149	2971
24	154	2932
25	159	2906
26	166	2908
27	170	2878
28	175	2856
29	181	2849
30	187	2829
31	192	2817
32	198	2804
33	204	2797
34	212	2822
35	217	2797
36	222	2785
37	228	2775
38	234	2773
39	239	2759
40	245	2748
41	252	2751
42	258	2752
43	266	2760
44	271	2740
45	276	2725
46	282	2718
47	286	2693
48	291	2681
49	298	2682
50	303	2667
51	308	2653
52	313	2644
53	318	2631
54	323	2617
55	329	2615
56	337	2626
57	343	2615
58	348	2604
59	353	2594
60	358	2582
61	362	2564
62	368	2555
63	374	2553
64	380	2547
65	388	2555
66	391	2532
67	399	2537
68	403	2521
69	408	2506
70	413	2499
71	418	2490
72	423	2475
73	428	2466
74	433	2454
75	437	2441
76	441	2426
77	445	2412
78	450	2400
79	454	2388
80	460	2380
81	464	2365
82	468	2352
83	472	2338
84	477	2330
85	481	2316
86	485	2304
87	490	2294
88	495	2288
89	499	2275
90	503	2263
91	507	2250
92	512	2240
93	517	2233
94	521	2222
95	526	2214
96	530	2202
97	534	2191
98	538	2182
99	544	2177
100	548	2167
101	552	2155
102	558	2151
103	563	2146
104	568	2137
105	572	2129
106	578	2124
107	582	2113
108	586	2103
109	590	2092
110	593	2081
111	599	2075
112	603	2067
113	607	2056
114	611	2047
115	615	2037
116	619	2029
117	624	2020
118	629	2015
119	634	2009
120	638	2000
121	642	1991
122	646	1982
123	651	1976
124	656	1969
125	660	1960
126	665	1954
127	671	1950
128	676	1945
129	681	1940
130	687	1936
131	691	1928
132	697	1923
133	701	1916
134	705	1908
135	712	1907
136	720	1909
137	726	1906
138	732	1901
139	736	1892
140	740	1884
141	744	1876
142	749	1870
143	754	1866
144	758	1858
145	765	1855
146	769	1848
147	773	1840
148	778	1833
149	781	1824
150	785	1816
151	790	1809
152	795	1803
153	800	1797
154	804	1790
155	810	1786
156	814	1779
157	818	1772
158	823	1766
159	829	1762
160	832	1753
161	837	1746
162	841	1740
163	845	1732
164	850	1726
165	853	1718
166	858	1711
167	862	1704
168	866	1696
169	869	1688
170	874	1683
171	879	1677
172	883	1670
173	887	1662
174	892	1656
175	896	1649
176	900	1644
177	904	1636
178	908	1628
179	913	1624
180	920	1622
181	925	1617
182	930	1611
183	935	1605
184	939	1600
185	945	1596
186	950	1590
187	954	1584
188	959	1579
189	964	1573
190	969	1568
191	975	1564
192	980	1559
193	986	1556
194	990	1549
195	994	1542
196	1000	1539
197	1005	1533
198	1010	1528
199	1014	1521
200	1018	1515
201	1024	1511
202	1029	1506
203	1034	1500
204	1038	1494
205	1044	1490
206	1049	1485
207	1054	1479
208	1059	1475
209	1064	1470
210	1070	1466
211	1075	1461
212	1079	1455
213	1083	1448
214	1089	1443
215	1093	1437
216	1098	1432
217	1103	1427
218	1107	1420
219	1111	1414
220	1115	1408
221	1119	1401
222	1123	1395
223	1127	1389
224	1132	1383
225	1136	1378
226	1142	1373
227	1145	1366
228	1151	1362
229	1154	1355
230	1160	1351
231	1165	1346
232	1170	1341
233	1174	1335
234	1178	1328
235	1181	1321
236	1185	1315
237	1189	1309
238	1193	1303
239	1197	1296
240	1200	1290
241	1205	1285
242	1210	1279
243	1217	1277
244	1221	1271
245	1225	1265
246	1229	1259
247	1235	1255
248	1240	1250
249	1244	1244
250	1250	1240
251	1253	1233
252	1258	1228
253	1262	1222
254	1266	1216
255	1270	1210
256	1274	1204
257	1278	1199
258	1282	1193
259	1286	1187
260	1290	1181
261	1294	1176
262	1298	1170
263	1301	1163
264	1305	1157
265	1311	1153
266	1314	1147
267	1317	1140
268	1321	1134
269	1324	1128
270	1328	1122
271	1332	1117
272	1337	1111
273	1340	1105
274	1344	1099
275	1348	1094
276	1352	1088
277	1356	1083
278	1359	1077
279	1363	1071
280	1366	1065
281	1370	1059
282	1373	1053
283	1376	1047
284	1380	1041
285	1383	1035
286	1387	1029
287	1391	1024
288	1394	1017
289	1398	1012
290	1401	1006
291	1406	1001
292	1409	995
293	1412	989
294	1415	983
295	1419	978
296	1422	972
297	1426	966
298	1429	960
299	1432	955
300	1436	949
301	1439	943
302	1443	938
303	1447	933
304	1451	927
305	1454	922
306	1457	916
307	1460	910
308	1464	905
309	1467	899
310	1471	894
311	1474	888
312	1478	883
313	1481	877
314	1485	872
315	1489	867
316	1492	861
317	1495	856
318	1499	850
319	1502	845
320	1505	839
321	1509	834
322	1512	829
323	1516	824
324	1521	819
325	1524	813
326	1527	808
327	1531	803
328	1535	798
329	1539	792
330	1542	787
331	1545	782
332	1550	777
333	1553	772
334	1558	767
335	1562	762
336	1565	757
337	1568	751
338	1571	746
339	1574	741
340	1579	736
341	1583	731
342	1587	726
343	1591	721
344	1594	716
345	1598	711
346	1601	706
347	1605	701
348	1609	696
349	1612	691
350	1616	686
351	1620	681
352	1623	676
353	1627	671
354	1631	666
355	1634	661
356	1639	656
357	1642	651
358	1646	646
359	1649	641
360	1652	636
361	1656	631
362	1660	626
363	1663	621
364	1668	617
365	1671	612
366	1675	607
367	1679	602
368	1684	598
369	1687	592
370	1690	587
371	1693	582
372	1696	577
373	1699	572
374	1702	567
375	1705	562
376	1708	557
377	1711	552
378	1714	547
379	1718	542
380	1723	538
381	1727	533
382	1731	528
383	1735	524
384	1739	519
385	1743	514
386	1746	509
387	1750	505
388	1754	500
389	1757	495
390	1761	491
391	1764	486
392	1767	481
393	1770	476
394	1773	471
395	1776	466
396	1780	461
397	1782	456
398	1785	452
399	1788	447
400	1791	442
401	1794	437
402	1796	432
403	1800	427
404	1802	422
405	1805	418
406	1808	413
407	1811	408
408	1814	403
409	1817	399
410	1820	394
411	1822	389
