feature,coefficient,abs_coefficient
stop_rate_squared,-1.1475058073817614,1.1475058073817614
stop_rate_log,0.9319897055611829,0.9319897055611829
stop_event_count,0.5456246539615047,0.5456246539615047
stop_event_rate,0.43487608047299103,0.43487608047299103
stop_density,0.43429860564399864,0.43429860564399864
stop_total_samples,-0.2608067959958342,0.2608067959958342
time_day_of_week,-0.24941101904703264,0.24941101904703264
hour_sin,-0.23956629349418482,0.23956629349418482
time_period,-0.15577330346886303,0.15577330346886303
day_cos,-0.14760654913441495,0.14760654913441495
distance_from_peak,-0.14223573144810223,0.14223573144810223
day_of_week,0.13945339087872974,0.13945339087872974
is_peak_hour,-0.12755581596469912,0.12755581596469912
stop_recency_score,0.12742650234132416,0.12742650234132416
geo_distance,-0.12144869564782217,0.12144869564782217
hour_cos,0.1182987247566517,0.1182987247566517
user_stop_recency_interaction,0.11631941678274066,0.11631941678274066
hour,0.11532379027845448,0.11532379027845448
int64_field_0,-0.11296231897481611,0.11296231897481611
headway_x_hour,0.10988493420575964,0.10988493420575964
stop_rate_per_sample,0.1095083827364145,0.1095083827364145
stop_dist_mean,-0.10154236559083261,0.10154236559083261
user_stop_interaction,0.10120487162183252,0.10120487162183252
stop_lat_event,-0.10000075737080485,0.10000075737080485
Unnamed: 0,0.09460222845043133,0.09460222845043133
user_recency_score,-0.09107594908759457,0.09107594908759457
headway_avg_stop_hour,-0.08396354139677155,0.08396354139677155
device_lat,-0.07900254401246033,0.07900254401246033
dist_x_weekend,0.07755834768478574,0.07755834768478574
stop_lon_event,0.07653123963682817,0.07653123963682817
stop_recency_days,0.07256576010494213,0.07256576010494213
stop_headway_mean,0.07098841037294326,0.07098841037294326
time_month,0.0706407710623027,0.0706407710623027
day_of_month,0.06903062765444047,0.06903062765444047
user_hist_conversion_rate,0.06561840484299401,0.06561840484299401
time_day_of_month,-0.06061628445012171,0.06061628445012171
time_hour,0.06041936762867972,0.06041936762867972
stop_headway_std,-0.05804912315692142,0.05804912315692142
dist_device_stop,-0.05317313743235255,0.05317313743235255
device_lon,0.0505951126293,0.0505951126293
day_sin,-0.04692239316399465,0.04692239316399465
headway_x_weekend,-0.04324906137260999,0.04324906137260999
is_weekend,0.042368764444306053,0.042368764444306053
dist_x_peak,0.04147468154658643,0.04147468154658643
stop_hist_conversion_rate,0.033560099264964414,0.033560099264964414
is_holiday,-0.031310357374909774,0.031310357374909774
month,-0.030891884341082865,0.030891884341082865
month_sin,0.03089188434108268,0.03089188434108268
month_cos,0.03089188434108186,0.03089188434108186
hour_weekday_interaction,0.024027413397455673,0.024027413397455673
user_recency_days,0.020014607539347744,0.020014607539347744
user_hist_count,0.01675576681356389,0.01675576681356389
stop_dist_std,-0.015892531609460553,0.015892531609460553
user_frequency,-0.01433926665004664,0.01433926665004664
stop_hist_count,-0.0013457250026689244,0.0013457250026689244
y_pred,0.0,0.0
y_pred_proba,0.0,0.0
stop_line_interaction,0.0,0.0
line_hist_count,0.0,0.0
line_hist_conversion_rate,0.0,0.0
direction,0.0,0.0
ctm_service_route,0.0,0.0
user_line_interaction,0.0,0.0
