iter	Logloss
0	0.6509136639
1	0.6131880418
2	0.5753507604
3	0.5481155967
4	0.5231520811
5	0.5093561886
6	0.4987235143
7	0.4865647751
8	0.4769287382
9	0.4692958449
10	0.4615817727
11	0.4531920286
12	0.445949911
13	0.4380280721
14	0.4332282952
15	0.4263152342
16	0.4195231315
17	0.4160051354
18	0.4106574964
19	0.4058960092
20	0.4014313429
21	0.3980773096
22	0.3933323228
23	0.3912255913
24	0.3876109529
25	0.3845279876
26	0.3825415169
27	0.3804198281
28	0.3768580156
29	0.3750287827
30	0.3718221216
31	0.3687119539
32	0.3664702517
33	0.3635539962
34	0.3605144252
35	0.3592011085
36	0.3573783615
37	0.3554145213
38	0.3535363308
39	0.3513543285
40	0.3481431922
41	0.3459097057
42	0.3438261766
43	0.3407255946
44	0.3385110773
45	0.3358979883
46	0.3323794687
47	0.3323694103
48	0.3300910445
49	0.3281799852
50	0.3256443699
51	0.3232739675
