iter	Passed	Remaining
0	191	18933
1	281	13803
2	373	12084
3	459	11036
4	552	10503
5	630	9870
6	702	9334
7	782	8997
8	865	8748
9	943	8494
10	1029	8331
11	1119	8212
12	1206	8073
13	1314	8076
14	1393	7898
15	1476	7752
16	1562	7627
17	1642	7481
18	1730	7376
19	1820	7280
20	1904	7164
21	1991	7062
22	2079	6963
23	2158	6834
24	2241	6723
25	2325	6619
26	2409	6514
27	2487	6396
28	2572	6297
29	2650	6183
30	2736	6090
31	2823	6000
32	2905	5898
33	2991	5807
34	3076	5713
35	3154	5607
36	3237	5512
37	3324	5423
38	3404	5324
39	3487	5230
40	3574	5143
41	3658	5051
42	3741	4960
43	3830	4874
44	3913	4782
45	3997	4692
46	4088	4610
47	4105	4448
48	4204	4375
49	4293	4293
50	4383	4211
51	4472	4128
